supplier_id,supplier_name,country,category,annual_spend_usd,tariff_rate,lead_time_days,single_source,spend_share,spend_score,tariff_score,single_source_score,lead_time_score,risk_score,risk_tier
S039,Horizon Technologies,Mexico,Raw Metals,2936000.0,0.2499,60,1,0.2707762683414954,1.0,0.7081105169340464,1.0,0.42857142857142855,0.8267188693659282,High
S005,Titan Technologies,China,Chemicals,217200.0,0.3084,117,1,0.02003154137730681,0.059238754325259525,0.9688057040998217,1.0,0.9714285714285714,0.657089560958073,High
S009,Argon Industries,China,Raw Metals,102300.0,0.2984,113,1,0.009434745317212185,0.019480968858131487,0.9242424242424242,1.0,0.9333333333333333,0.6240910663730732,High
S052,Anchor Systems,China,Semiconductors,46000.0,0.2867,104,1,0.004242407474015254,0.0,0.8721033868092691,1.0,0.8476190476190476,0.5887738731856379,High
S018,Yield Systems,China,Packaging Materials,76200.0,0.3016,85,1,0.007027640206955703,0.010449826989619377,0.9385026737967913,1.0,0.6666666666666666,0.5852082415854042,High
S029,Frontier Systems,China,Automotive Parts,95000.0,0.2863,79,1,0.00876149369633585,0.01695501730103806,0.8703208556149732,1.0,0.6095238095238096,0.5584590841684267,High
S056,Summit Systems,Germany,Industrial Equipment,617200.0,0.16,108,1,0.0569220411513525,0.19764705882352943,0.3074866310160428,1.0,0.8857142857142857,0.49427960275019095,High
S044,Lumen Supply Co.,Mexico,Chemicals,56100.0,0.2564,44,1,0.0051738925933099075,0.0034948096885813137,0.7370766488413547,1.0,0.2761904761904762,0.46377474947198133,High
S031,Trident Group,Germany,Office Supplies,46600.0,0.1672,106,1,0.004297743223676323,0.00020761245674740498,0.3395721925133689,1.0,0.8666666666666667,0.43194432211387224,High
S003,Crestline Systems,Thailand,Electronics Components,97800.0,0.2113,59,1,0.009019727194754171,0.01792387543252595,0.5360962566844919,1.0,0.41904761904761906,0.4299593762638745,High
S050,Nova Systems,China,Automotive Parts,64700.0,0.2967,120,0,0.00596703833845189,0.006470588235294116,0.9166666666666667,0.0,1.0,0.427264705882353,High
S024,Ironclad Manufacturing,Indonesia,Packaging Materials,63800.0,0.2011,64,1,0.005884034713960287,0.00615916955017301,0.4906417112299465,1.0,0.4666666666666667,0.41934822271154454,High
S053,Vantage Group,Germany,Industrial Equipment,152600.0,0.1503,101,1,0.01407372566379843,0.03688581314878893,0.26426024955436717,1.0,0.819047619047619,0.41504525232552913,High
S046,Silverline Manufacturing,Malaysia,Industrial Equipment,64300.0,0.1895,71,1,0.005930147838677844,0.006332179930795847,0.4389483065953654,1.0,0.5333333333333333,0.41390075495438816,Medium
S014,Wavelength Partners,Malaysia,Industrial Equipment,52000.0,0.1777,82,1,0.00479576497062594,0.00207612456747405,0.38636363636363635,1.0,0.638095238095238,0.4123500202219925,Medium
S051,Crestline Materials,China,Office Supplies,72100.0,0.3092,94,0,0.006649512584271736,0.009031141868512112,0.9723707664884134,0.0,0.7523809523809524,0.4077292724576461,Medium
S007,Solstice Manufacturing,Germany,Textiles,186800.0,0.1593,78,1,0.017227863394479338,0.04871972318339101,0.3043672014260249,1.0,0.6,0.3983620635419943,Medium
S010,Vantage Systems,India,Industrial Equipment,60300.0,0.1496,93,1,0.0055612428409373875,0.0049480968858131484,0.2611408199643494,1.0,0.7428571428571429,0.39150265132791084,Medium
S028,Cascade Materials,China,Automotive Parts,91000.0,0.2878,96,0,0.008392588698595395,0.015570934256055364,0.8770053475935828,0.0,0.7714285714285715,0.3842657169819799,Medium
S047,Wavelength Manufacturing,Vietnam,Chemicals,81900.0,0.1916,41,1,0.007553329828735854,0.012422145328719722,0.44830659536541884,1.0,0.24761904761904763,0.3759825866175347,Medium
S059,Cobalt Holdings,China,Packaging Materials,59600.0,0.2985,78,0,0.005496684466332807,0.004705882352941175,0.9246880570409981,0.0,0.6,0.3690534759358288,Medium
S027,Falcon Group,India,Semiconductors,47500.0,0.1518,71,1,0.004380746848167925,0.0005190311418685108,0.27094474153297676,1.0,0.5333333333333333,0.361465083359547,Medium
S037,Falcon Technologies,China,Raw Metals,159000.0,0.3064,54,0,0.014663973660183162,0.03910034602076125,0.9598930481283422,0.0,0.37142857142857144,0.3573673212600548,Medium
S026,Summit Materials,China,Textiles,61200.0,0.3154,50,0,0.005644246465428991,0.0052595155709342575,1.0,0.0,0.3333333333333333,0.35184083044982695,Medium
S016,Redwood Materials,Mexico,Logistics Services,94700.0,0.2517,104,0,0.008733825821505318,0.016851211072664362,0.7161319073083777,0.0,0.8476190476190476,0.347880353210803,Medium
S060,Ridgeline Technologies,China,Raw Metals,75300.0,0.293,52,0,0.006944636582464101,0.01013840830449827,0.9001782531194295,0.0,0.3523809523809524,0.32645906169954614,Medium
S025,Nova Materials,Germany,Industrial Equipment,49500.0,0.1543,39,1,0.004565199347038154,0.001211072664359862,0.28208556149732616,1.0,0.22857142857142856,0.31933525816743813,Medium
S008,Wavelength Technologies,Germany,Electronics Components,78700.0,0.1538,34,1,0.007258205830543489,0.011314878892733565,0.27985739750445626,1.0,0.18095238095238095,0.31506028400665076,Medium
S033,Nova Partners,Mexico,Industrial Equipment,83800.0,0.2462,78,0,0.007728559702662572,0.013079584775086505,0.6916221033868093,0.0,0.6,0.302064485687323,Medium
S036,Element Industries,China,Logistics Services,163400.0,0.2911,27,0,0.015069769157697664,0.040622837370242214,0.8917112299465241,0.0,0.11428571428571428,0.2988742192063991,Medium
S042,Orbit Systems,Malaysia,Electronics Components,54300.0,0.2041,117,0,0.005007885344326703,0.002871972318339102,0.5040106951871658,0.0,0.9714285714285714,0.2979226845818541,Medium
S001,Keystone Technologies,Germany,Automotive Parts,66300.0,0.1403,24,1,0.006114600337548073,0.007024221453287198,0.21969696969696972,1.0,0.08571428571428572,0.2812247112748843,Medium
